crisis_id,actor_id,actor_name,primary_entry_route,entry_route_types,entry_status,office_evidence,bargain_evidence,outcome_status,source_ids
CR-1958-60,PER_001,Philibert Tsiranana,office_spell_or_constitutional_office,office_spell_or_constitutional_office; constitutional_rule_actor; informal_network_access,Autonomy / provisional government transition; accession_or_office_spell_start; President of the Provisional Government of the Malagasy Republic; Election / independence transition; Council appointment; Appointment / republic formation; Constitutional office transformation; President; Vice-President of the Government Council / Executive Council; Prime Minister / President of the Provisional Government; President of the Republic exercising head-of-government authority,HOS_000; HOS_001; EOG_001; EOG_002; EOG_002A; President of the Provisional Government of the Malagasy Republic; President; Vice-President of the Government Council / Executive Council; Prime Minister / President of the Provisional Government; President of the Republic exercising head-of-government authority; Provisional Head of State / Head of Government; Constitutional President; Equivalent Head of Government; Prime Minister / Equivalent Head of Government; Autonomy / provisional government transition; Election / independence transition,,President of the Provisional Government of the Malagasy Republic; President; Vice-President of the Government Council / Executive Council; Prime Minister / President of the Provisional Government; President of the Republic exercising head-of-government authority; Philibert Tsiranana as president after 1959 Constitution; independence in 1960,ELTSRC_HOS; SRC_ARCHONTOLOGY_HOS; ELTSRC_PMVP; SRC_MJP_1958; SRC_MJP_1959; SRC_MJP_1975
CR-1958-60,PER_016,Philibert Raondry,office_spell_or_constitutional_office,office_spell_or_constitutional_office; informal_network_access,Presidential/constitutional appointment; accession_or_office_spell_start; Vice President,VP_001; Vice President; Presidential/constitutional appointment; 1959-05-01; President Philibert Tsiranana,,Vice President; Philibert Tsiranana as president after 1959 Constitution; independence in 1960,ELTSRC_PMVP; SRC_ARCHONTOLOGY_HOS; SRC_MJP_1958; SRC_MJP_1959; SRC_MJP_1975
CR-1958-60,PER_017,Calvin Tsiebo,office_spell_or_constitutional_office,office_spell_or_constitutional_office,Presidential appointment; accession_or_office_spell_start; Vice President,VP_002; Vice President; Presidential appointment; 1960-06-01; President Philibert Tsiranana,,Vice President; Philibert Tsiranana as president after 1959 Constitution; independence in 1960,ELTSRC_PMVP; SRC_ARCHONTOLOGY_HOS; SRC_MJP_1958; SRC_MJP_1959; SRC_MJP_1975
CR-1971,PER_017,Calvin Tsiebo,office_spell_or_constitutional_office,office_spell_or_constitutional_office; informal_network_access,Presidential appointment; accession_or_office_spell_start; First Vice President,VP_004; First Vice President; Vice President; Presidential appointment; 1971-02-01; President Philibert Tsiranana,,First Vice President; Philibert Tsiranana,ELTSRC_PMVP; SRC_MARCUS_2004
CR-1971,PER_019,Jacques Rabemananjara,office_spell_or_constitutional_office,office_spell_or_constitutional_office; informal_network_access,Presidential appointment; accession_or_office_spell_start; Second Vice President,VP_005; Second Vice President; Vice President; Presidential appointment; 1971-02-01; President Philibert Tsiranana,,Second Vice President; Philibert Tsiranana,ELTSRC_PMVP; SRC_MARCUS_2004
CR-1971,PER_020,Victor Miadana,office_spell_or_constitutional_office,office_spell_or_constitutional_office; informal_network_access,Presidential appointment; accession_or_office_spell_start; Third Vice President,VP_006; Third Vice President; Vice President; Presidential appointment; 1971-02-01; President Philibert Tsiranana,,Third Vice President; Philibert Tsiranana,ELTSRC_PMVP; SRC_MARCUS_2004
CR-1971,PER_021,Alfred Ramangasoavina,office_spell_or_constitutional_office,office_spell_or_constitutional_office; informal_network_access,Presidential appointment; accession_or_office_spell_start; Fourth Vice President,VP_007; Fourth Vice President; Vice President; Presidential appointment; 1971-02-01; President Philibert Tsiranana,,Fourth Vice President; Philibert Tsiranana,ELTSRC_PMVP; SRC_MARCUS_2004
CR-1971,PER_022,Eugène Bernard Lechat,office_spell_or_constitutional_office,office_spell_or_constitutional_office,Presidential appointment; accession_or_office_spell_start; Fifth Vice President,VP_008; Fifth Vice President; Vice President; Presidential appointment; 1971-02-01; President Philibert Tsiranana,,Fifth Vice President; Philibert Tsiranana,ELTSRC_PMVP; SRC_MARCUS_2004
CR-1972,PER_002,Gabriel Ramanantsoa,military_transfer_gatekeeping_or_direct_rule,office_spell_or_constitutional_office; negotiated_bargain_or_settlement; military_transfer_gatekeeping_or_direct_rule,Military transition / transfer of power; accession_or_office_spell_start; Head of Government; recipient_or_transfer_actor; Military transition; Prime Minister,HOS_002; EOG_003; Head of Government; Prime Minister; Military Head of State / Head of Government; Military transition / transfer of power; Military transition; 1972-10-11; 1972-05-18; Tsiranana transfer + referendum-backed transition; Tsiranana / military transfer,BARG-1972-01; BARG-1972-02; BARG-1973-01; Transfer of full powers from Philibert Tsiranana to General Gabriel Ramanantsoa; 1972 referendum and Loi constitutionnelle provisoire; Revised Franco-Malagasy cooperation accords; domestic executive-transfer arrangement; domestic constitutional-political settlement; international bilateral treaty package; recipient_or_transfer_actor,Head of Government; Prime Minister; Gabriel Ramanantsoa,ELTSRC_HOS; SRC_MARCUS_2004; ELTSRC_PMVP; SRC_BARG_1972_01; SRC_BARG_1972_02; SRC_BARG_1973_01; DISCSRC_1972_MJP_1975; SRC_IMODEV_1972
CR-1975,PER_003,Richard Ratsimandrava,military_transfer_gatekeeping_or_direct_rule,office_spell_or_constitutional_office; negotiated_bargain_or_settlement; military_transfer_gatekeeping_or_direct_rule; informal_network_access,Military succession; accession_or_office_spell_start; Head of Government / Military Head of State; recipient_or_transfer_actor; Military/constitutional appointment during transition; Head of Government / Prime Minister-equivalent,HOS_003; EOG_003A; Head of Government / Military Head of State; Head of Government / Prime Minister-equivalent; Military Head of State; Equivalent Head of Government; Military succession; Military/constitutional appointment during transition; 1975-02-05; Armed Forces / Ramanantsoa resignation; Gabriel Ramanantsoa / Conseil Supérieur des Institutions,BARG-1975-01; BARG-1975-02; Ramanantsoa-Ratsimandrava executive transfer arrangement; Military Directorate / Directoire militaire after Ratsimandrava assassination; domestic executive-transfer arrangement; domestic military crisis arrangement; recipient_or_transfer_actor,Head of Government / Military Head of State; Head of Government / Prime Minister-equivalent; Didier Ratsiraka,ELTSRC_HOS; SRC_BRITANNICA_RATSIMANDRAVA; ELTSRC_PMVP; SRC_BARG_1975_01; SRC_BARG_1975_02; SRC_MJP_1975
