crisis_id,actors,entry_routes_present,actors_by_entry_route,outcome_buckets,source_ids
CR-1958-60,Philibert Tsiranana; Philibert Raondry; Calvin Tsiebo,office_spell_or_constitutional_office; constitutional_rule_actor; informal_network_access,"office_spell_or_constitutional_office: Philibert Tsiranana, Philibert Raondry, Calvin Tsiebo; constitutional_rule_actor: Philibert Tsiranana; informal_network_access: Philibert Tsiranana, Philibert Raondry",presidency_or_head_of_state=3,ELTSRC_HOS; SRC_ARCHONTOLOGY_HOS; ELTSRC_PMVP; SRC_MJP_1958; SRC_MJP_1959; SRC_MJP_1975
CR-1971,Calvin Tsiebo; Jacques Rabemananjara; Victor Miadana; Alfred Ramangasoavina; Eugène Bernard Lechat,office_spell_or_constitutional_office; informal_network_access,"office_spell_or_constitutional_office: Calvin Tsiebo, Jacques Rabemananjara, Victor Miadana, Alfred Ramangasoavina, Eugène Bernard Lechat; informal_network_access: Calvin Tsiebo, Jacques Rabemananjara, Victor Miadana, Alfred Ramangasoavina",presidency_or_head_of_state=5,ELTSRC_PMVP; SRC_MARCUS_2004
CR-1972,Gabriel Ramanantsoa,office_spell_or_constitutional_office; military_transfer_gatekeeping_or_direct_rule; negotiated_bargain_or_settlement,office_spell_or_constitutional_office: Gabriel Ramanantsoa; military_transfer_gatekeeping_or_direct_rule: Gabriel Ramanantsoa; negotiated_bargain_or_settlement: Gabriel Ramanantsoa,head_of_government_or_pm=1,ELTSRC_HOS; SRC_MARCUS_2004; ELTSRC_PMVP; SRC_BARG_1972_01; SRC_BARG_1972_02; SRC_BARG_1973_01; DISCSRC_1972_MJP_1975; SRC_IMODEV_1972
CR-1975,Richard Ratsimandrava; Gilles Andriamahazo; Didier Ignace Ratsiraka; Joël Rakotomalala; Justin Rakotoniaina,office_spell_or_constitutional_office; military_transfer_gatekeeping_or_direct_rule; negotiated_bargain_or_settlement; constitutional_rule_actor; business_media_or_international_support; informal_network_access,"office_spell_or_constitutional_office: Richard Ratsimandrava, Gilles Andriamahazo, Didier Ignace Ratsiraka, Joël Rakotomalala, Justin Rakotoniaina; military_transfer_gatekeeping_or_direct_rule: Richard Ratsimandrava, Gilles Andriamahazo, Didier Ignace Ratsiraka, Joël Rakotomalala; negotiated_bargain_or_settlement: Richard Ratsimandrava, Gilles Andriamahazo, Didier Ignace Ratsiraka; constitutional_rule_actor: Didier Ignace Ratsiraka; business_media_or_international_support: Didier Ignace Ratsiraka; informal_network_access: Richard Ratsimandrava, Gilles Andriamahazo, Didier Ignace Ratsiraka, Joël Rakotomalala",presidency_or_head_of_state=3; head_of_government_or_pm=2,ELTSRC_HOS; SRC_BRITANNICA_RATSIMANDRAVA; ELTSRC_PMVP; SRC_BARG_1975_01; SRC_BARG_1975_02; SRC_MJP_1975; DISCSRC_1975_MJP
CR-1989,Victor Ramahatra,office_spell_or_constitutional_office; military_transfer_gatekeeping_or_direct_rule,office_spell_or_constitutional_office: Victor Ramahatra; military_transfer_gatekeeping_or_direct_rule: Victor Ramahatra,head_of_government_or_pm=1,ELTSRC_PMVP; SRC_MARCUS_2004
CR-1991,Albert Zafy; Guy Willy Razanamasy; Francisque Tsiatosika Ravony,office_spell_or_constitutional_office; negotiated_bargain_or_settlement; civil_moral_or_movement_authority; informal_network_access,"office_spell_or_constitutional_office: Albert Zafy, Guy Willy Razanamasy, Francisque Tsiatosika Ravony; negotiated_bargain_or_settlement: Albert Zafy; civil_moral_or_movement_authority: Albert Zafy, Guy Willy Razanamasy, Francisque Tsiatosika Ravony; informal_network_access: Guy Willy Razanamasy",presidency_or_head_of_state=1; head_of_government_or_pm=2,ELTSRC_HOS; SRC_MJP_1991_CONVENTION; SRC_BARG_1991_01; SRC_HCC_MANUEL; SRC_PERSEE_1991; SRC_ICL_1992; ELTSRC_PMVP
CR-1996,Didier Ignace Ratsiraka; Norbert Lala Ratsirahonana; Pascal Joseph Rakotomavo,office_spell_or_constitutional_office; business_media_or_international_support; informal_network_access,"office_spell_or_constitutional_office: Didier Ignace Ratsiraka, Norbert Lala Ratsirahonana, Pascal Joseph Rakotomavo; business_media_or_international_support: Didier Ignace Ratsiraka; informal_network_access: Norbert Lala Ratsirahonana",presidency_or_head_of_state=2; head_of_government_or_pm=1,ELTSRC_HOS; SRC_STATE_1996_HR; SRC_WIPO_2007; ELTSRC_PMVP
CR-2001-02,Marc Ravalomanana; Jacques Hugues Sylla; Jean-Jacques Rasolondraibe,office_spell_or_constitutional_office; negotiated_bargain_or_settlement; business_media_or_international_support; informal_network_access,"office_spell_or_constitutional_office: Marc Ravalomanana, Jacques Hugues Sylla, Jean-Jacques Rasolondraibe; negotiated_bargain_or_settlement: Marc Ravalomanana; business_media_or_international_support: Jacques Hugues Sylla; informal_network_access: Marc Ravalomanana, Jacques Hugues Sylla",presidency_or_head_of_state=1; head_of_government_or_pm=2,ELTSRC_HOS; SRC_CRS_2009; SRC_BARG_2002_01; SRC_BARG_2002_02; DISCSRC_2002_IRIN; ELTSRC_PMVP
CR-2009,Military Directory: Hippolyte Raharison Ramaroson; Ranto Rabarisoa; Rivo Hanitra Razafindralambo; Hippolyte Raharison Ramaroson; Andry Nirina Rajoelina; Monja Roindefo Zafitsimivalo; Albert Camille Vital,office_spell_or_constitutional_office; military_transfer_gatekeeping_or_direct_rule; negotiated_bargain_or_settlement; constitutional_rule_actor; business_media_or_international_support; informal_network_access,"office_spell_or_constitutional_office: Military Directory: Hippolyte Raharison Ramaroson; Ranto Rabarisoa; Rivo Hanitra Razafindralambo, Hippolyte Raharison Ramaroson, Andry Nirina Rajoelina, Monja Roindefo Zafitsimivalo, Albert Camille Vital; military_transfer_gatekeeping_or_direct_rule: Military Directory: Hippolyte Raharison Ramaroson; negotiated_bargain_or_settlement: Andry Nirina Rajoelina; constitutional_rule_actor: Military Directory: Hippolyte Raharison Ramaroson; Rivo Hanitra Razafindralambo, Andry Nirina Rajoelina; business_media_or_international_support: Hippolyte Raharison Ramaroson, Andry Nirina Rajoelina; informal_network_access: Military Directory: Hippolyte Raharison Ramaroson; Rivo Hanitra Razafindralambo, Hippolyte Raharison Ramaroson",other_executive_or_symbolic_outcome=1; presidency_or_head_of_state=2; head_of_government_or_pm=2,ELTSRC_PMVP; SRC_CRS_2009; DISCSRC_2009_CRS; SRC_HCC_2009_AMEND; SRC_HCC_2009_ORDS; SRC_ACE_2009_003; ELTSRC_HOS; SRC_BARG_2009_01
CR-2009-10,Emmanuel Rakotovahiny; Eugène Régis Mangalaza; Cécile Marie Ange Manorohanta; Fetison Rakoto Andrianirina,office_spell_or_constitutional_office; negotiated_bargain_or_settlement; business_media_or_international_support; informal_network_access,"office_spell_or_constitutional_office: Emmanuel Rakotovahiny, Eugène Régis Mangalaza, Cécile Marie Ange Manorohanta, Fetison Rakoto Andrianirina; negotiated_bargain_or_settlement: Emmanuel Rakotovahiny, Eugène Régis Mangalaza, Fetison Rakoto Andrianirina; business_media_or_international_support: Fetison Rakoto Andrianirina; informal_network_access: Emmanuel Rakotovahiny, Eugène Régis Mangalaza, Fetison Rakoto Andrianirina",presidency_or_head_of_state=2; head_of_government_or_pm=2,ELTSRC_PMVP; SRC_CRS_2009; SRC_BARG_2009_09; SRC_PAX_2009_CHARTER; SRC_PAX_2009_ADDIS; SRC_MJP_2010_IVATO; SRC_CONSTITUTE_2010; SRC_BARG_2009_04
