figure_id,row_key,column_key,distinct_settlement_records,evidence_ids
F_S22_1,CR-1958-60,signed_or_mediated_agreement,1,CR-1958-60 / BARG-1958-01
F_S22_1,CR-1958-60,foundational_or_bilateral_settlement,3,CR-1958-60 / BARG-1958-01; CR-1958-60 / BARG-1960-01; CR-1958-60 / BARG-1960-02
F_S22_4,CR-1958-60,power_distribution_not_explicitly_coded,3,CR-1958-60 / BARG-1958-01; CR-1958-60 / BARG-1960-01; CR-1958-60 / BARG-1960-02
F_S22_8,CR-1958-60,constitutional_amendment,3,CR-1958-60 / BARG-1958-01; CR-1958-60 / BARG-1960-01; CR-1958-60 / BARG-1960-02
F_S22_8,CR-1958-60,executive precedent,3,CR-1958-60 / BARG-1958-01; CR-1958-60 / BARG-1960-01; CR-1958-60 / BARG-1960-02
F_S22_1,CR-1972,signed_or_mediated_agreement,2,CR-1972 / BARG-1972-02; CR-1972 / BARG-1973-01
F_S22_1,CR-1972,ordinance_or_executive_transfer,1,CR-1972 / BARG-1972-01
F_S22_1,CR-1972,referendum_or_provisional_constitution,2,CR-1972 / BARG-1972-01; CR-1972 / BARG-1972-02
F_S22_1,CR-1972,foundational_or_bilateral_settlement,1,CR-1972 / BARG-1973-01
F_S22_4,CR-1972,authority_concentration_or_transfer,3,CR-1972 / BARG-1972-01; CR-1972 / BARG-1972-02; CR-1972 / BARG-1973-01
F_S22_6,CR-1972,elections_referendum_or_roadmap,2,CR-1972 / BARG-1972-01; CR-1972 / BARG-1972-02
F_S22_6,CR-1972,election_timetable,2,CR-1972 / BARG-1972-01; CR-1972 / BARG-1972-02
F_S22_6,CR-1972,return_to_constitutional_order,1,CR-1972 / BARG-1972-02
F_S22_1,CR-1975,signed_or_mediated_agreement,2,CR-1975 / BARG-1975-01; CR-1975 / BARG-1975-02
F_S22_1,CR-1975,ordinance_or_executive_transfer,1,CR-1975 / BARG-1975-01
F_S22_4,CR-1975,authority_concentration_or_transfer,2,CR-1975 / BARG-1975-01; CR-1975 / BARG-1975-02
F_S22_8,CR-1975,transition charter,2,CR-1975 / BARG-1975-01; CR-1975 / BARG-1975-02
F_S22_8,CR-1975,executive precedent,2,CR-1975 / BARG-1975-01; CR-1975 / BARG-1975-02
F_S22_1,CR-1991,signed_or_mediated_agreement,2,CR-1991 / BARG-1991-01; CR-1991 / BARG-1991-02
F_S22_4,CR-1991,power_sharing_or_controlled_inclusion,1,CR-1991 / BARG-1991-01
F_S22_4,CR-1991,authority_concentration_or_transfer,1,CR-1991 / BARG-1991-02
F_S22_6,CR-1991,elections_referendum_or_roadmap,1,CR-1991 / BARG-1991-01
F_S22_6,CR-1991,election_timetable,1,CR-1991 / BARG-1991-01
F_S22_6,CR-1991,return_to_constitutional_order,1,CR-1991 / BARG-1991-02
F_S22_8,CR-1991,constitutional_amendment,2,CR-1991 / BARG-1991-01; CR-1991 / BARG-1991-02
F_S22_8,CR-1991,new constitution,2,CR-1991 / BARG-1991-01; CR-1991 / BARG-1991-02
F_S22_8,CR-1991,executive precedent,2,CR-1991 / BARG-1991-01; CR-1991 / BARG-1991-02
F_S22_1,CR-2001-02,signed_or_mediated_agreement,2,CR-2001-02 / BARG-2002-01; CR-2001-02 / BARG-2002-02
F_S22_4,CR-2001-02,power_sharing_or_controlled_inclusion,2,CR-2001-02 / BARG-2002-01; CR-2001-02 / BARG-2002-02
F_S22_6,CR-2001-02,elections_referendum_or_roadmap,2,CR-2001-02 / BARG-2002-01; CR-2001-02 / BARG-2002-02
F_S22_6,CR-2001-02,election_timetable,2,CR-2001-02 / BARG-2002-01; CR-2001-02 / BARG-2002-02
F_S22_6,CR-2001-02,consensus_government,1,CR-2001-02 / BARG-2002-01
F_S22_6,CR-2001-02,claim_resolution,2,CR-2001-02 / BARG-2002-01; CR-2001-02 / BARG-2002-02
F_S22_1,CR-2009,ordinance_or_executive_transfer,1,CR-2009 / BARG-2009-01
F_S22_4,CR-2009,authority_concentration_or_transfer,1,CR-2009 / BARG-2009-01
F_S22_6,CR-2009,elections_referendum_or_roadmap,1,CR-2009 / BARG-2009-01
F_S22_6,CR-2009,election_timetable,1,CR-2009 / BARG-2009-01
F_S22_8,CR-2009,constitutional_amendment,1,CR-2009 / BARG-2009-01
F_S22_8,CR-2009,executive precedent,1,CR-2009 / BARG-2009-01
F_S22_1,CR-2009-10,signed_or_mediated_agreement,6,CR-2009-10 / BARG-2009-02; CR-2009-10 / BARG-2009-05; CR-2009-10 / BARG-2009-06; CR-2009-10 / BARG-2009-07; CR-2009-10 / BARG-2009-10; CR-2009-10 / BARG-2010-01
F_S22_1,CR-2009-10,transition_charter,4,CR-2009-10 / BARG-2009-03; CR-2009-10 / BARG-2009-04; CR-2009-10 / BARG-2009-08; CR-2009-10 / BARG-2009-09
F_S22_1,CR-2009-10,foundational_or_bilateral_settlement,1,CR-2009-10 / BARG-2009-03
F_S22_4,CR-2009-10,power_sharing_or_controlled_inclusion,5,CR-2009-10 / BARG-2009-02; CR-2009-10 / BARG-2009-04; CR-2009-10 / BARG-2009-08; CR-2009-10 / BARG-2009-09; CR-2009-10 / BARG-2010-01
F_S22_4,CR-2009-10,authority_concentration_or_transfer,1,CR-2009-10 / BARG-2009-07
F_S22_4,CR-2009-10,power_distribution_not_explicitly_coded,4,CR-2009-10 / BARG-2009-03; CR-2009-10 / BARG-2009-05; CR-2009-10 / BARG-2009-06; CR-2009-10 / BARG-2009-10
F_S22_6,CR-2009-10,elections_referendum_or_roadmap,9,CR-2009-10 / BARG-2009-02; CR-2009-10 / BARG-2009-03; CR-2009-10 / BARG-2009-04; CR-2009-10 / BARG-2009-05; CR-2009-10 / BARG-2009-06; CR-2009-10 / BARG-2009-07; CR-2009-10 / BARG-2009-08; CR-2009-10 / BARG-2009-09; CR-2009-10 / BARG-2009-10
F_S22_6,CR-2009-10,election_timetable,9,CR-2009-10 / BARG-2009-02; CR-2009-10 / BARG-2009-03; CR-2009-10 / BARG-2009-04; CR-2009-10 / BARG-2009-05; CR-2009-10 / BARG-2009-06; CR-2009-10 / BARG-2009-07; CR-2009-10 / BARG-2009-08; CR-2009-10 / BARG-2009-09; CR-2009-10 / BARG-2009-10
